date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,IVZ,entry,8,24.1033,192.83,0.19,,,99508.54
2015-01-02,J,entry,6,34.131,204.79,0.2,,,99508.54
2015-01-02,JBHT,entry,2,75.9599,151.92,0.15,,,99508.54
2015-01-02,JBL,entry,10,19.9094,199.09,0.2,,,99508.54
2015-01-02,JCI,entry,6,31.8535,191.12,0.19,,,99508.54
2015-01-02,JKHY,entry,3,54.5849,163.75,0.16,,,99508.54
2015-01-02,JNJ,entry,2,76.9752,153.95,0.15,,,99508.54
2015-01-02,JPM,entry,4,46.0678,184.27,0.18,,,99508.54
2015-01-02,KDP,entry,24,8.8424,212.22,0.21,,,99508.54
2015-01-02,KEY,entry,24,9.0146,216.35,0.22,,,99508.54
2015-01-02,KEYS,entry,6,33.8269,202.96,0.2,,,99508.54
2015-01-02,KIM,entry,14,14.7912,207.08,0.21,,,99508.54
2015-01-02,KKR,entry,11,18.0477,198.52,0.2,,,99508.54
2015-01-02,KLAC,entry,3,57.0325,171.1,0.17,,,99508.54
2015-01-02,KMB,entry,2,78.4852,156.97,0.16,,,99508.54
2015-01-02,KMI,entry,9,23.765,213.88,0.21,,,99508.54
2015-01-02,KO,entry,7,29.6791,207.75,0.21,,,99508.54
2015-01-02,KR,entry,8,25.6703,205.36,0.21,,,99508.54
2015-01-02,L,entry,5,40.0654,200.33,0.2,,,99508.54
2015-01-02,LDOS,entry,8,25.9156,207.33,0.21,,,99508.54
2015-01-02,LEN,entry,5,38.4697,192.35,0.19,,,99508.54
2015-01-02,LH,entry,2,89.8411,179.68,0.18,,,99508.54
2015-01-02,LHX,entry,3,58.018,174.05,0.17,,,99508.54
2015-01-02,LII,entry,2,83.2901,166.58,0.17,,,99508.54
2015-01-02,LIN,entry,2,105.769,211.54,0.21,,,99508.54
2015-01-02,LLY,entry,3,57.0738,171.22,0.17,,,99508.54
2015-01-02,LMT,entry,1,142.0623,142.06,0.14,,,99508.54
2015-01-02,LNT,entry,9,23.1071,207.96,0.21,,,99508.54
