date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,RMD,entry,4,48.9061,195.62,0.2,,,99508.54
2015-01-02,ROK,entry,2,89.5424,179.08,0.18,,,99508.54
2015-01-02,ROL,entry,25,8.4963,212.41,0.21,,,99508.54
2015-01-02,ROP,entry,1,146.1751,146.18,0.15,,,99508.54
2015-01-02,ROST,entry,5,42.5116,212.56,0.21,,,99508.54
2015-01-02,RSG,entry,6,33.0206,198.12,0.2,,,99508.54
2015-01-02,RTX,entry,3,55.4303,166.29,0.17,,,99508.54
2015-01-02,RVTY,entry,5,42.3516,211.76,0.21,,,99508.54
2015-01-02,SATS,entry,5,42.5902,212.95,0.21,,,99508.54
2015-01-02,SBAC,entry,2,101.5547,203.11,0.2,,,99508.54
2015-01-02,SBUX,entry,6,32.5506,195.3,0.2,,,99508.54
2015-01-02,SCHW,entry,8,26.4424,211.54,0.21,,,99508.54
2015-01-02,SHW,entry,2,78.5104,157.02,0.16,,,99508.54
2015-01-02,SJM,entry,3,71.5694,214.71,0.21,,,99508.54
2015-01-02,SLB,entry,3,61.9378,185.81,0.19,,,99508.54
2015-01-02,SMCI,entry,61,3.5248,215.01,0.22,,,99508.54
2015-01-02,SNA,entry,2,105.0079,210.02,0.21,,,99508.54
2015-01-02,SNPS,entry,4,43.7519,175.01,0.18,,,99508.54
2015-01-02,SO,entry,7,30.3516,212.46,0.21,,,99508.54
2015-01-02,SPG,entry,2,105.3568,210.71,0.21,,,99508.54
2015-01-02,SPGI,entry,2,80.4495,160.9,0.16,,,99508.54
2015-01-02,SRE,entry,5,39.4367,197.18,0.2,,,99508.54
2015-01-02,STE,entry,3,57.609,172.83,0.17,,,99508.54
2015-01-02,STLD,entry,13,15.6275,203.16,0.2,,,99508.54
2015-01-02,STT,entry,3,58.0256,174.08,0.17,,,99508.54
2015-01-02,STX,entry,5,39.99,199.95,0.2,,,99508.54
2015-01-02,STZ,entry,2,82.9858,165.97,0.17,,,99508.54
2015-01-02,SW,entry,14,15.3514,214.92,0.21,,,99508.54
2015-01-02,SWK,entry,2,72.2595,144.52,0.14,,,99508.54
2015-01-02,SWKS,entry,3,58.5314,175.59,0.18,,,99508.54
2015-01-02,SYF,entry,9,23.5912,212.32,0.21,,,99508.54
2015-01-02,SYK,entry,2,83.2172,166.43,0.17,,,99508.54
2015-01-02,SYY,entry,7,29.683,207.78,0.21,,,99508.54
2015-01-02,T,entry,19,11.3148,214.98,0.21,,,99508.54
2015-01-02,TAP,entry,3,56.5465,169.64,0.17,,,99508.54
2015-01-02,TDG,entry,1,123.0263,123.03,0.12,,,99508.54
2015-01-02,TDY,entry,2,103.5518,207.1,0.21,,,99508.54
2015-01-02,TECH,entry,10,21.4467,214.47,0.21,,,99508.54
2015-01-02,TEL,entry,4,51.7947,207.18,0.21,,,99508.54
2015-01-02,TER,entry,11,18.5029,203.53,0.2,,,99508.54
2015-01-02,TFC,entry,8,24.9255,199.4,0.2,,,99508.54
2015-01-02,TGT,entry,4,53.947,215.79,0.22,,,99508.54
2015-01-02,TJX,entry,7,29.3238,205.27,0.21,,,99508.54
2015-01-02,TKO,entry,20,10.4225,208.45,0.21,,,99508.54
2015-01-02,TMO,entry,1,122.101,122.1,0.12,,,99508.54
2015-01-02,TMUS,entry,8,26.0692,208.55,0.21,,,99508.54
2015-01-02,TPL,entry,18,11.4333,205.8,0.21,,,99508.54
2015-01-02,TPR,entry,7,27.172,190.2,0.19,,,99508.54
2015-01-02,TRGP,entry,3,61.5607,184.68,0.18,,,99508.54
2015-01-02,TRMB,entry,8,26.7134,213.71,0.21,,,99508.54
2015-01-02,TROW,entry,3,56.4981,169.49,0.17,,,99508.54
2015-01-02,TRV,entry,2,83.1779,166.36,0.17,,,99508.54
2015-01-02,TSCO,entry,16,13.3718,213.95,0.21,,,99508.54
2015-01-02,TSLA,entry,14,14.8654,208.12,0.21,,,99508.54
2015-01-02,TSN,entry,7,30.9157,216.41,0.22,,,99508.54
